"ID";"Onderwijssectoren";"Perioden";"TotaalUitgavenAanOnderwijs_1";"TotaalOverheid_2";"TotaalAanOnderwijsinstellingen_3";"LumpsumFinanciering_4";"Contractonderzoek_5";"Apparaatskosten_6";"TotaalSubsidieEnFiscaleRegelingen_7";"EducatiefDeelDagbestPeuterspeelz_8";"Leerlingenvervoer_9";"OnderwijsvoorzieningenJonggehandicapten_10";"TegemoetkomingSchoolkosten_11";"BegeleidingskostenLeerBedrijven_12";"StudiefinancieringGiften_13";"StudiefinancieringLeningen_14";"TotaalOntvangsten_15";"EUSubsidieregelingen_16";"TerugontvangenStudiefinancieringEn_17";"RenteOpStudieleningen_18";"AflossingenOpStudieleningen_19";"TotaalHuishoudens_20";"TotaalAanOnderwijsinstellingen_21";"LesEnCollegegeldBekostigdOnderwijs_22";"LesEnCollegegeldParticulOnderwijs_23";"OuderbijdragenEnSchoolactiviteiten_24";"TotaalOverigeUitgaven_25";"EducatiefDeelDagbestPeuterspeelz_26";"BoekenLeermiddelenOVEnBijles_27";"TeveelOntvangenStudiefinancieringEn_28";"RenteOpStudieleningen_29";"AflossingenOpStudieleningen_30";"TotaalOntvangenBijdragen_31";"KinderopvangtoeslagEducatiefDeel_32";"OnderwijsvoorzieningenJonggehandicapten_33";"TegemoetkomingSchoolkosten_34";"StudiebeurzenVanBedrijven_35";"StudiefinancieringVoorLesEnColl_36";"StudiefinancieringVoorLevensonderhoud_37";"StudiefinancieringLeningen_38";"TotaalBedrijven_39";"TotaalAanOnderwijsinstellingen_40";"BegeleidingDualeLeerlingenStagiairs_41";"LesEnCollegegeldParticulOnderwijs_42";"Contractonderzoek_43";"TotaalOverigeUitgaven_44";"KinderopvangtoeslagEducatiefDeel_45";"Studiebeurzen_46";"TotaalOntvangenSubsidies_47";"Leerlingenvervoer_48";"BegeleidingskostenLeerBedrijven_49";"TotaalBuitenland_50";"TotaalAanOnderwijsinstellingen_51";"InternationaleMiddelen_52";"Contractonderzoek_53";"EUSubsidieregelingen_54";"TotaalUitgavenAanOnderwijs_55";"InBbp_56";"PerHoofdVanDeBevolking_57";"TotaalOverheidsuitgavenAanOnderwijs_58";"InBbp_59";"InVanDeTotaleOverheidsuitgaven_60";"TotaalAanOnderwijsinstellingen_61";"TotaalInBbp_62";"Overheid_63";"HuishoudensBedrijvenBuitenland_64";"PerDeelnemerInclusiefRD_65";"PerDeelnemerExclusiefRD_66"
"139";"A048421";"2022JJ00";"23438";"18860";"17444";"   17145";"";"298";"1455";"";"      95";"       9";"62";"438";"851";"559";"39";"11";"11";"17";"272";"2239";"1158";"193";"339";"626";"1483";"";"1455";"11";"17";"272";"402";"";"       9";"62";"0";"330";"521";"559";"2310";"2748";"2588";"160";"";"0";"";"0";"438";"95";"438";"29";"18";"18";"";"11";"   23438";"2.5";"1332";"19458";"2.0";"4.7";"21368";"     2.2";"1.8";"0.4";"   13929";"   13929"
"140";"A048422";"1995JJ00";".";".";".";"       .";"";".";".";"";"       .";"       .";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"";".";".";".";".";".";"";"       .";".";"0";".";".";".";".";".";".";".";"";"0";"";"0";".";".";".";".";"0";"0";"";".";"       .";".";".";".";".";".";".";"       .";".";".";"       .";"       ."
"141";"A048422";"1996JJ00";".";".";".";"       .";"";".";".";"";"       .";"       .";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"";".";".";".";".";".";"";"       .";".";"0";".";".";".";".";".";".";".";"";"0";"";"0";".";".";".";".";"0";"0";"";".";"       .";".";".";".";".";".";".";"       .";".";".";"       .";"       ."
"142";"A048422";"1997JJ00";"4620";"4099";"3900";"    3742";"";"158";"199";"";"      34";"       .";"165";"";"";"";"0";"0";".";".";".";"506";"329";"148";"45";"135";"342";"";"342";".";".";".";"165";"";"       .";"165";"0";"";"";"";"16";"16";"0";"16";"";"0";"";"0";"0";"34";"0";"0";"0";"0";"";"0";"    4620";"1.3";"297";"4099";"1.1";"2.4";"4244";"     1.2";"1.1";"0.1";"    4683";"    4683"
"143";"A048422";"1998JJ00";"5059";"4545";"4355";"    4186";"";"170";"190";"";"      35";"       .";"155";"";"";"";"0";"0";".";".";".";"497";"300";"114";"50";"137";"352";"";"352";".";".";".";"155";"";"       .";"155";"0";"";"";"";"17";"17";"0";"17";"";"0";"";"0";"0";"35";"0";"0";"0";"0";"";"0";"    5059";"1.3";"323";"4545";"1.2";"2.6";"4673";"     1.2";"1.1";"0.1";"    5152";"    5152"
"144";"A048422";"1999JJ00";"5521";"5001";"4794";"    4602";"";"192";"207";"";"      37";"       .";"171";"";"";"";"0";"0";".";".";".";"503";"337";"136";"52";"149";"336";"";"336";".";".";".";"171";"";"       .";"171";"0";"";"";"";"18";"18";"0";"18";"";"0";"";"0";"0";"37";"0";"0";"0";"0";"";"0";"    5521";"1.3";"350";"5001";"1.2";"2.7";"5149";"     1.2";"1.1";"0.1";"    5639";"    5639"
"145";"A048422";"2000JJ00";"6059";"5493";"5233";"    5028";"";"205";"259";"";"      39";"       .";"221";"";"";"";"0";"0";"";".";".";"548";"365";"138";"54";"173";"404";"";"404";"";".";".";"221";"";"       .";"221";"0";"";"";"";"19";"19";"0";"19";"";"0";"";"0";"0";"39";"0";"0";"0";"0";"";"0";"    6059";"1.3";"382";"5493";"1.2";"2.9";"5617";"     1.2";"1.2";"0.1";"    6108";"    6108"
"146";"A048422";"2001JJ00";"6715";"6147";"5866";"    5643";"";"222";"282";"";"      41";"       .";"240";"1";"";"";"0";"0";"";".";".";"544";"382";"141";"60";"181";"402";"";"402";"";".";".";"240";"";"       .";"240";"0";"";"";"";"23";"24";"3";"21";"";"0";"";"0";"1";"41";"1";"0";"0";"0";"";"0";"    6715";"1.4";"420";"6147";"1.3";"3.0";"6272";"     1.3";"1.2";"0.1";"    6763";"    6763"
"147";"A048422";"2002JJ00";"7176";"6508";"6214";"    5960";"";"254";"294";"";"      43";"       .";"247";"3";"";"";"0";"0";"";".";".";"638";"419";"160";"63";"197";"466";"";"466";"";".";".";"247";"";"       .";"247";"0";"";"";"";"30";"33";"10";"24";"";"0";"";"0";"3";"43";"3";"0";"0";"0";"";"0";"    7176";"1.4";"446";"6508";"1.3";"3.0";"6667";"     1.3";"1.2";"0.1";"    7106";"    7106"
"148";"A048422";"2003JJ00";"7396";"6673";"6371";"    6172";"";"198";"303";"";"      46";"       .";"254";"3";"";"";"0";"0";"";".";".";"688";"447";"164";"67";"217";"495";"";"495";"";".";".";"254";"";"       .";"254";"0";"";"";"";"34";"37";"12";"25";"";"0";"";"0";"3";"46";"3";"0";"0";"0";"";"0";"    7396";"1.4";"457";"6673";"1.3";"2.9";"6855";"     1.3";"1.2";"0.1";"    7217";"    7217"
"149";"A048422";"2004JJ00";"7814";"7030";"6709";"    6536";"";"173";"322";"";"      51";"       .";"267";"4";"";"";"0";"0";"";".";".";"745";"490";"174";"82";"234";"522";"";"522";"";".";".";"267";"";"       .";"267";"0";"";"";"";"39";"43";"16";"27";"";"0";"";"0";"4";"51";"4";"0";"0";"0";"";"0";"    7814";"1.5";"481";"7030";"1.3";"3.1";"7241";"     1.4";"1.3";"0.1";"    7518";"    7518"
"150";"A048422";"2005JJ00";"8185";"7417";"7153";"    6982";"";"170";"264";"";"      52";"       .";"207";"4";"";"";"0";"0";"";".";".";"728";"342";"1";"87";"254";"593";"";"593";"";".";".";"207";"";"       .";"207";"0";"";"";"";"40";"44";"18";"27";"";"0";"";"0";"4";"52";"4";"0";"0";"0";"";"0";"    8185";"1.5";"502";"7417";"1.3";"3.2";"7539";"     1.4";"1.3";"0.1";"    7752";"    7752"
"151";"A048422";"2006JJ00";"8333";"7475";"7199";"    7022";"";"177";"275";"";"      60";"       .";"211";"4";"";"";"0";"0";"";".";".";"816";"366";"";"89";"278";"661";"";"661";"";".";".";"211";"";"       .";"211";"0";"";"";"";"39";"43";"16";"27";"";"0";"";"0";"4";"60";"4";"3";"3";"3";"";"0";"    8333";"1.4";"510";"7475";"1.3";"3.0";"7611";"     1.3";"1.2";"0.1";"    7775";"    7775"
"152";"A048422";"2007JJ00";"8877";"7947";"7685";"    7527";"";"158";"279";"";"      62";"       .";"213";"4";"";"";"16";"16";"";".";".";"857";"392";"";"110";"283";"678";"";"678";"";".";".";"213";"";"       .";"213";"0";"";"";"";"52";"57";"15";"41";"";"0";"";"0";"4";"62";"4";"20";"4";"4";"";"16";"    8877";"1.4";"543";"7964";"1.3";"3.0";"8137";"     1.3";"1.2";"0.1";"    8252";"    8252"
"153";"A048422";"2008JJ00";"9164";"8446";"7900";"    7741";"";"159";"570";"";"      66";"       .";"499";"5";"";"";"25";"25";"";".";".";"625";"443";"";"117";"326";"681";"";"681";"";".";".";"499";"";"       .";"499";"0";"";"";"";"54";"59";"15";"44";"";"0";"";"0";"5";"66";"5";"40";"15";"15";"";"25";"    9164";"1.4";"559";"8470";"1.3";"3.0";"8417";"     1.3";"1.2";"0.1";"    8542";"    8542"
"154";"A048422";"2009JJ00";"9717";"8840";"8695";"    8507";"";"188";"172";"";"      67";"       5";"96";"5";"";"";"26";"26";"";".";".";"768";"443";"";"134";"309";"425";"";"425";"";".";".";"100";"";"       5";"96";"0";"";"";"";"64";"68";"14";"54";"";"0";"";"0";"5";"67";"5";"45";"19";"19";"";"26";"    9717";"1.6";"589";"8866";"1.4";"3.0";"9225";"     1.5";"1.4";"0.1";"    9342";"    9342"
"155";"A048422";"2010JJ00";"9974";"9086";"8956";"    8742";"";"214";"146";"";"      68";"       5";"69";"4";"";"";"16";"16";"";"";"";"800";"434";"";"134";"300";"440";"";"440";"";"";"";"74";"";"       5";"69";"0";"";"";"";"57";"61";"13";"49";"";"0";"";"0";"4";"68";"4";"31";"15";"15";"";"16";"    9974";"1.6";"602";"9102";"1.4";"3.0";"9467";"     1.5";"1.4";"0.1";"    9559";"    9559"
"156";"A048422";"2011JJ00";"9879";"9051";"8920";"    8705";"";"215";"147";"";"      69";"       6";"69";"4";"";"";"16";"16";"";"";"";"746";"425";"";"130";"294";"396";"";"396";"";"";"";"75";"";"       6";"69";"0";"";"";"";"52";"56";"12";"44";"";"0";"";"0";"4";"69";"4";"30";"14";"14";"";"16";"    9879";"1.5";"593";"9068";"1.4";"3.0";"9414";"     1.4";"1.4";"0.1";"    9448";"    9448"
"157";"A048422";"2012JJ00";"10073";"9275";"9157";"    8943";"";"214";"146";"";"      69";"       6";"68";"3";"";"";"28";"28";"";"";"";"701";"429";"";"139";"290";"346";"";"346";"";"";"";"74";"";"       6";"68";"0";"";"";"";"54";"58";"11";"47";"";"0";"";"0";"3";"69";"3";"43";"15";"15";"";"28";"   10073";"1.5";"602";"9303";"1.4";"3.0";"9658";"     1.5";"1.4";"0.1";"    9581";"    9581"
"158";"A048422";"2013JJ00";"10559";"9754";"9607";"    9371";"";"236";"147";"";"      69";"       7";"67";"3";"";"";"0";"0";"";"";"";"736";"438";"";"137";"301";"372";"";"372";"";"";"";"74";"";"       7";"67";"0";"";"";"";"55";"59";"11";"48";"";"0";"";"0";"3";"69";"3";"14";"14";"14";"";"0";"   10559";"1.6";"629";"9754";"1.5";"3.2";"10117";"     1.5";"1.5";"0.1";"    9897";"    9897"
"159";"A048422";"2014JJ00";"10398";"9539";"9392";"    9158";"";"234";"147";"";"      72";"       6";"66";"3";"";"";"0";"0";"";"";"";"777";"465";"";"158";"308";"384";"";"384";"";"";"";"72";"";"       6";"66";"0";"";"";"";"69";"72";"11";"61";"";"0";"";"0";"3";"72";"3";"13";"13";"13";"";"0";"   10398";"1.5";"618";"9539";"1.4";"3.1";"9942";"     1.5";"1.4";"0.1";"    9591";"    9591"
"160";"A048422";"2015JJ00";"10697";"9823";"9701";"    9490";"";"211";"147";"";"      73";"       6";"66";"3";"";"";"25";"25";"";"";"";"772";"465";"";"156";"309";"379";"";"379";"";"";"";"72";"";"       6";"66";"0";"";"";"";"64";"67";"11";"56";"";"0";"";"0";"3";"73";"3";"38";"13";"13";"";"25";"   10697";"1.6";"633";"9848";"1.4";"3.2";"10245";"     1.5";"1.4";"0.1";"    9780";"    9780"
"161";"A048422";"2016JJ00";"10995";"10096";"9963";"    9752";"";"211";"151";"";"      76";"       6";"67";"2";"";"";"18";"18";"";"";"";"801";"477";"";"165";"312";"397";"";"397";"";"";"";"73";"";"       7";"66";"0";"";"";"";"67";"69";"10";"59";"";"0";"";"0";"2";"76";"2";"31";"13";"13";"";"18";"   10995";"1.5";"648";"10114";"1.4";"3.3";"10522";"     1.5";"1.5";"0.1";"    9998";"    9998"
"162";"A048422";"2017JJ00";"11183";"10152";"10011";"    9827";"";"185";"159";"";"      77";"       6";"73";"2";"";"";"18";"18";"";"";"";"935";"546";"";"166";"380";"468";"";"468";"";"";"";"79";"";"       6";"73";"0";"";"";"";"64";"66";"10";"56";"";"0";"";"0";"2";"77";"2";"33";"15";"15";"";"18";"   11183";"1.5";"655";"10170";"1.4";"3.2";"10638";"     1.4";"1.4";"0.1";"   10158";"   10158"
"163";"A048422";"2018JJ00";"11628";"10494";"10351";"   10174";"";"177";"165";"";"      82";"       7";"74";"2";"";"";"22";"22";"";"";"";"1042";"581";"0";"160";"422";"542";"";"542";"";"";"";"81";"";"       7";"74";"0";"";"";"";"57";"59";"10";"48";"";"0";"";"0";"2";"82";"2";"36";"14";"14";"";"22";"   11628";"1.5";"677";"10516";"1.4";"3.2";"11005";"     1.4";"1.3";"0.1";"   10660";"   10660"
"164";"A048422";"2019JJ00";"11919";"10755";"10590";"   10397";"";"193";"165";"";"      86";"       7";"70";"2";"";"";"0";"0";"";"";"";"1092";"596";"0";"166";"430";"573";"";"573";"";"";"";"77";"";"       7";"70";"0";"";"";"";"57";"59";"10";"49";"";"0";"";"0";"2";"86";"2";"15";"15";"15";"";"0";"   11919";"1.5";"690";"10755";"1.4";"3.1";"11260";"     1.4";"1.3";"0.1";"   11089";"   11089"
"165";"A048422";"2020JJ00";"11967";"10907";"10747";"   10557";"";"190";"160";"";"      90";"       5";"63";"2";"";"";"0";"0";"";"";"";"986";"522";"0";"176";"346";"533";"";"533";"";"";"";"69";"";"       5";"63";"0";"";"";"";"58";"60";"9";"51";"";"0";"";"0";"2";"90";"2";"16";"16";"16";"";"0";"   11967";"1.5";"688";"10907";"1.3";"2.8";"11345";"     1.4";"1.3";"0.1";"   11358";"   11358"
"166";"A048422";"2021JJ00";"13240";"11958";"11811";"   11611";"";"200";"159";"";"      92";"       6";"59";"2";"";"";"12";"12";"";"";"";"1194";"576";"0";"181";"395";"683";"";"683";"";"";"";"65";"";"       6";"59";"0";"";"";"";"59";"61";"9";"52";"";"0";"";"0";"2";"92";"2";"29";"17";"17";"";"12";"   13241";"1.5";"758";"11970";"1.3";"3.0";"12465";"     1.4";"1.3";"0.1";"   12616";"   12616"
"167";"A048422";"2022JJ00";"14280";"12729";"12574";"   12364";"";"209";"166";"";"      95";"       6";"62";"3";"";"";"11";"11";"";"";"";"1460";"682";"0";"195";"487";"847";"";"847";"";"";"";"69";"";"       6";"62";"0";"";"";"";"62";"65";"10";"55";"";"0";"";"0";"3";"95";"3";"29";"18";"18";"";"11";"   14280";"1.5";"811";"12740";"1.3";"3.1";"13339";"     1.4";"1.3";"0.1";"   13485";"   13485"
"168";"A048579";"1995JJ00";".";".";".";"       .";"";".";".";"";"       .";"       .";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"";".";".";".";".";".";"";"       .";".";"0";".";".";".";".";".";".";".";"";"0";"";"0";".";".";".";".";"0";"0";"";".";"       .";".";".";".";".";".";".";"       .";".";".";"       .";"       ."
"169";"A048579";"1996JJ00";".";".";".";"       .";"";".";".";"";"       .";"       .";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"";".";".";".";".";".";"";"       .";".";"0";".";".";".";".";".";".";".";"";"0";"";"0";".";".";".";".";"0";"0";"";".";"       .";".";".";".";".";".";".";"       .";".";".";"       .";"       ."
"170";"A048579";"1997JJ00";"3210";"2198";"1433";"    1383";"";"51";"817";"";"";"       .";"40";"176";"602";"23";"52";"52";".";".";".";"405";"414";"179";"127";"108";"251";"";"251";".";".";".";"260";"";"       .";"40";"0";"220";"382";"23";"555";"730";"647";"83";"";"0";"";"0";"176";"";"176";"52";"0";"0";"";"52";"    3210";"0.9";"206";"2274";"0.6";"1.4";"2578";"     0.7";"0.4";"0.3";"    5351";"    5351"
"171";"A048579";"1998JJ00";"3490";"2432";"1588";"    1534";"";"54";"896";"";"";"       .";"38";"189";"670";"34";"52";"52";".";".";".";"366";"408";"157";"139";"112";"266";"";"266";".";".";".";"308";"";"       .";"38";"0";"270";"399";"34";"640";"829";"738";"91";"";"0";"";"0";"189";"";"189";"52";"0";"0";"";"52";"    3490";"0.9";"223";"2518";"0.6";"1.4";"2825";"     0.7";"0.4";"0.3";"    5780";"    5780"
"172";"A048579";"1999JJ00";"3606";"2410";"1593";"    1534";"";"59";"869";"";"";"       .";"48";"197";"625";"24";"52";"52";".";".";".";"432";"462";"197";"145";"120";"264";"";"264";".";".";".";"294";"";"       .";"48";"0";"247";"378";"24";"713";"909";"814";"95";"";"0";"";"0";"197";"";"197";"52";"0";"0";"";"52";"    3606";"0.9";"229";"2486";"0.6";"1.4";"2964";"     0.7";"0.4";"0.3";"    6059";"    6059"
"173";"A048579";"2000JJ00";"3984";"2732";"1833";"    1770";"";"63";"1027";"";"";"       .";"63";"278";"687";"30";"128";"115";"13";".";".";"389";"473";"208";"150";"115";"282";"";"270";"13";".";".";"367";"";"       .";"63";"0";"304";"383";"30";"747";"1025";"926";"99";"";"0";"";"0";"278";"";"278";"115";"0";"0";"";"115";"    3984";"0.9";"251";"2890";"0.6";"1.5";"3331";"     0.7";"0.4";"0.3";"    6661";"    6661"
"174";"A048579";"2001JJ00";"4265";"2778";"1969";"    1900";"";"68";"939";"";"";"       .";"86";"290";"564";"91";"130";"115";"14";".";".";"512";"508";"220";"168";"120";"293";"";"279";"14";".";".";"288";"";"       .";"86";"0";"203";"361";"91";"859";"1149";"1039";"110";"";"0";"";"0";"290";"";"290";"115";"0";"0";"";"115";"    4265";"0.9";"267";"2999";"0.6";"1.5";"3625";"     0.8";"0.4";"0.3";"    7064";"    7064"
"175";"A048579";"2002JJ00";"4553";"2870";"2081";"    2002";"";"79";"917";"";"";"       .";"93";"375";"449";"97";"128";"115";"12";".";".";"672";"527";"229";"142";"156";"331";"";"319";"12";".";".";"186";"";"       .";"93";"0";"93";"356";"97";"896";"1271";"1159";"112";"";"0";"";"0";"375";"";"375";"115";"0";"0";"";"115";"    4553";"0.9";"283";"3095";"0.6";"1.4";"3879";"     0.8";"0.4";"0.4";"    7618";"    7618"
"176";"A048579";"2003JJ00";"4929";"3147";"2286";"    2223";"";"63";"986";"";"";"       .";"93";"319";"574";"123";"125";"115";"10";".";".";"629";"539";"246";"153";"141";"357";"";"347";"10";".";".";"268";"";"       .";"93";"0";"175";"399";"123";"1038";"1357";"1238";"120";"";"0";"";"0";"319";"";"319";"115";"0";"0";"";"115";"    4929";"1.0";"304";"3395";"0.7";"1.5";"4183";"     0.8";"0.4";"0.4";"    8041";"    8041"
"177";"A048579";"2004JJ00";"5209";"3428";"2400";"    2343";"";"57";"1156";"";"";"       .";"120";"308";"729";"80";"128";"115";"13";".";".";"582";"630";"276";"211";"143";"385";"";"373";"13";".";".";"434";"";"       .";"120";"0";"314";"415";"80";"1084";"1392";"1261";"131";"";"0";"";"0";"308";"";"308";"115";"0";"0";"";"115";"    5209";"1.0";"320";"3636";"0.7";"1.6";"4421";"     0.8";"0.5";"0.4";"    8128";"    8128"
"178";"A048579";"2005JJ00";"5518";"3597";"2639";"    2582";"";"57";"1091";"";"";"       .";"61";"292";"738";"108";"133";"115";"18";".";".";"684";"624";"202";"274";"148";"423";"";"405";"18";".";".";"364";"";"       .";"61";"0";"303";"435";"108";"1123";"1415";"1261";"154";"";"0";"";"0";"292";"";"292";"115";"0";"0";"";"115";"    5518";"1.0";"338";"3838";"0.7";"1.6";"4678";"     0.8";"0.5";"0.4";"    8482";"    8482"
"179";"A048579";"2006JJ00";"6052";"4031";"2953";"    2892";"";"61";"1219";"";"";"       .";"58";"298";"863";"247";"141";"130";"11";".";".";"670";"578";"181";"250";"147";"455";"";"444";"11";".";".";"363";"";"       .";"58";"0";"305";"558";"247";"1221";"1519";"1377";"142";"";"0";"";"0";"298";"";"298";"130";"0";"0";"";"130";"    6052";"1.0";"371";"4419";"0.8";"1.8";"5050";"     0.9";"0.5";"0.4";"    9122";"    9122"
"180";"A048579";"2007JJ00";"6088";"3856";"3088";"    3032";"";"56";"851";"";"";"       .";"55";"293";"503";"475";"83";"67";"16";".";".";"770";"536";"189";"192";"155";"475";"";"459";"16";".";".";"240";"";"       .";"55";"0";"185";"318";"475";"1395";"1687";"1538";"149";"";"0";"";"0";"293";"";"293";"67";"0";"0";"";"67";"    6088";"1.0";"372";"4414";"0.7";"1.7";"5311";"     0.9";"0.5";"0.4";"    9480";"    9480"
"181";"A048579";"2008JJ00";"6488";"4334";"3264";"    3204";"";"60";"1188";"";"";"       .";"54";"452";"681";"411";"119";"102";"17";".";".";"655";"514";"180";"176";"158";"449";"";"433";"17";".";".";"308";"";"       .";"54";"0";"254";"427";"411";"1398";"1850";"1711";"139";"";"0";"";"0";"452";"";"452";"102";"0";"0";"";"102";"    6488";"1.0";"395";"4863";"0.8";"1.7";"5628";"     0.9";"0.5";"0.4";"    9939";"    9939"
"182";"A048579";"2009JJ00";"6760";"4616";"3460";"    3388";"";"73";"1273";"";"";"       2";"50";"528";"694";"332";"118";"103";"15";".";".";"615";"503";"187";"153";"163";"418";"";"403";"15";".";".";"306";"";"       2";"50";"0";"254";"440";"332";"1426";"1953";"1827";"126";"";"0";"";"0";"528";"";"528";"103";"0";"0";"";"103";"    6760";"1.1";"410";"5066";"0.8";"1.7";"5917";"     0.9";"0.6";"0.4";"   10449";"   10449"
"183";"A048579";"2010JJ00";"7085";"4820";"3538";"    3452";"";"86";"1446";"";"";"       2";"32";"576";"837";"215";"164";"130";"13";"21";"34";"670";"522";"203";"146";"173";"444";"";"410";"13";"21";"34";"296";"";"       2";"32";"0";"262";"575";"215";"1465";"2041";"1931";"110";"";"0";"";"0";"576";"";"576";"130";"0";"0";"";"130";"    7085";"1.1";"427";"5199";"0.8";"1.7";"6100";"     1.0";"0.6";"0.4";"   10703";"   10703"
"184";"A048579";"2011JJ00";"7156";"4799";"3510";"    3424";"";"86";"1552";"";"";"       3";"28";"640";"882";"187";"264";"204";"15";"44";"70";"664";"497";"207";"143";"146";"470";"";"410";"15";"44";"70";"302";"";"       3";"28";"0";"271";"611";"187";"1488";"2128";"2021";"107";"";"0";"";"0";"640";"";"640";"204";"0";"0";"";"204";"    7156";"1.1";"430";"5249";"0.8";"1.7";"6134";"     0.9";"0.5";"0.4";"   10761";"   10761"
"185";"A048579";"2012JJ00";"7106";"4787";"3520";"    3435";"";"85";"1319";"";"";"       3";"26";"457";"835";"189";"52";"2";"4";"46";"74";"660";"522";"222";"171";"129";"411";"";"360";"4";"46";"74";"273";"";"       3";"26";"0";"244";"590";"189";"1657";"2114";"1988";"125";"";"0";"";"0";"457";"";"457";"2";"0";"0";"";"2";"    7106";"1.1";"425";"5028";"0.8";"1.6";"6156";"     0.9";"0.5";"0.4";"   10815";"   10815"
"186";"A048579";"2013JJ00";"7021";"4795";"3562";"    3471";"";"91";"1305";"";"";"       3";"16";"408";"878";"240";"72";"0";"30";"42";"86";"650";"502";"206";"167";"130";"443";"";"371";"30";"42";"86";"295";"";"       3";"16";"0";"276";"602";"240";"1576";"1984";"1862";"122";"";"0";"";"0";"408";"";"408";"0";"0";"0";"";"0";"    7021";"1.1";"418";"5108";"0.8";"1.7";"6048";"     0.9";"0.5";"0.4";"   10848";"   10848"
"187";"A048579";"2014JJ00";"7082";"4918";"3596";"    3507";"";"89";"1380";"";"";"       3";"16";"286";"1075";"254";"58";"0";"25";"32";"86";"600";"500";"224";"158";"117";"418";"";"361";"25";"32";"86";"318";"";"       3";"16";"0";"299";"776";"254";"1564";"1850";"1735";"115";"";"0";"";"0";"286";"";"286";"0";"0";"0";"";"0";"    7082";"1.1";"421";"5230";"0.8";"1.7";"5946";"     0.9";"0.5";"0.3";"   10947";"   10947"
"188";"A048579";"2015JJ00";"7224";"4883";"3840";"    3765";"";"75";"1081";"";"";"       3";"6";"276";"795";"328";"38";"0";"20";"18";"62";"705";"530";"259";"156";"115";"384";"";"346";"20";"18";"62";"209";"";"       3";"6";"0";"200";"595";"328";"1636";"1912";"1798";"114";"";"0";"";"0";"276";"";"276";"0";"0";"0";"";"0";"    7224";"1.0";"427";"5249";"0.8";"1.7";"6283";"     0.9";"0.6";"0.4";"   11822";"   11822"
"189";"A048579";"2016JJ00";"7060";"5240";"3884";"    3808";"";"76";"1394";"";"";"       3";"0";"266";"1125";"324";"38";"0";"20";"18";"86";"316";"512";"249";"148";"115";"369";"";"331";"20";"18";"86";"565";"";"       3";"0";"0";"562";"563";"324";"1504";"1770";"1661";"109";"";"0";"";"0";"266";"";"266";"0";"0";"0";"";"0";"    7060";"1.0";"416";"5602";"0.8";"1.8";"6166";"     0.9";"0.5";"0.3";"   11603";"   11603"
"190";"A048579";"2017JJ00";"7454";"4910";"3965";"    3894";"";"70";"984";"";"";"       3";"0";"267";"714";"362";"39";"0";"23";"16";"100";"787";"517";"242";"150";"125";"379";"";"340";"23";"16";"100";"109";"";"       3";"0";"0";"106";"609";"362";"1757";"2024";"1914";"110";"";"0";"";"0";"267";"";"267";"0";"0";"0";"";"0";"    7454";"1.0";"436";"5311";"0.7";"1.7";"6506";"     0.9";"0.5";"0.3";"   12085";"   12085"
"191";"A048579";"2018JJ00";"7934";"5673";"4134";"    4065";"";"70";"1570";"";"";"       3";"0";"278";"1289";"410";"31";"0";"17";"14";"107";"237";"501";"237";"127";"137";"413";"";"383";"17";"14";"107";"677";"";"       3";"0";"0";"674";"614";"410";"2024";"2302";"2209";"93";"";"0";"";"0";"278";"";"278";"0";"0";"0";"";"0";"    7934";"1.0";"462";"6114";"0.8";"1.9";"6937";"     0.9";"0.5";"0.3";"   12888";"   12888"
"192";"A048579";"2019JJ00";"8389";"5577";"4192";"    4114";"";"78";"1420";"";"";"       3";"0";"284";"1133";"484";"35";"0";"15";"20";"116";"563";"515";"246";"130";"139";"427";"";"392";"15";"20";"116";"379";"";"       3";"0";"0";"376";"757";"484";"2249";"2533";"2438";"95";"";"0";"";"0";"284";"";"284";"0";"0";"0";"";"0";"    8389";"1.0";"485";"6096";"0.7";"1.8";"7240";"     0.9";"0.5";"0.4";"   13231";"   13231"
"193";"A048579";"2020JJ00";"8377";"5478";"4386";"    4307";"";"79";"1123";"";"";"       3";"0";"292";"829";"490";"31";"0";"12";"19";"191";"662";"511";"253";"133";"125";"439";"";"408";"12";"19";"191";"288";"";"       3";"0";"0";"286";"543";"490";"2237";"2529";"2431";"98";"";"0";"";"0";"292";"";"292";"0";"0";"0";"";"0";"    8377";"1.1";"481";"6000";"0.8";"1.6";"7426";"     0.9";"0.6";"0.4";"   13435";"   13435"
"194";"A048579";"2021JJ00";"8892";"6155";"4799";"    4714";"";"85";"1386";"";"";"       3";"0";"388";"995";"521";"30";"0";"11";"19";"236";"602";"458";"205";"137";"116";"545";"";"515";"11";"19";"236";"401";"";"       3";"0";"0";"398";"597";"521";"2135";"2523";"2423";"100";"";"0";"";"0";"388";"";"388";"0";"0";"0";"";"0";"    8892";"1.0";"509";"6706";"0.8";"1.7";"7780";"     0.9";"0.6";"0.3";"   14065";"   14065"
