"ID";"Onderwijssectoren";"Perioden";"TotaalUitgavenAanOnderwijs_1";"TotaalOverheid_2";"TotaalAanOnderwijsinstellingen_3";"LumpsumFinanciering_4";"Contractonderzoek_5";"Apparaatskosten_6";"TotaalSubsidieEnFiscaleRegelingen_7";"EducatiefDeelDagbestPeuterspeelz_8";"Leerlingenvervoer_9";"OnderwijsvoorzieningenJonggehandicapten_10";"TegemoetkomingSchoolkosten_11";"BegeleidingskostenLeerBedrijven_12";"StudiefinancieringGiften_13";"StudiefinancieringLeningen_14";"TotaalOntvangsten_15";"EUSubsidieregelingen_16";"TerugontvangenStudiefinancieringEn_17";"RenteOpStudieleningen_18";"AflossingenOpStudieleningen_19";"TotaalHuishoudens_20";"TotaalAanOnderwijsinstellingen_21";"LesEnCollegegeldBekostigdOnderwijs_22";"LesEnCollegegeldParticulOnderwijs_23";"OuderbijdragenEnSchoolactiviteiten_24";"TotaalOverigeUitgaven_25";"EducatiefDeelDagbestPeuterspeelz_26";"BoekenLeermiddelenOVEnBijles_27";"TeveelOntvangenStudiefinancieringEn_28";"RenteOpStudieleningen_29";"AflossingenOpStudieleningen_30";"TotaalOntvangenBijdragen_31";"KinderopvangtoeslagEducatiefDeel_32";"OnderwijsvoorzieningenJonggehandicapten_33";"TegemoetkomingSchoolkosten_34";"StudiebeurzenVanBedrijven_35";"StudiefinancieringVoorLesEnColl_36";"StudiefinancieringVoorLevensonderhoud_37";"StudiefinancieringLeningen_38";"TotaalBedrijven_39";"TotaalAanOnderwijsinstellingen_40";"BegeleidingDualeLeerlingenStagiairs_41";"LesEnCollegegeldParticulOnderwijs_42";"Contractonderzoek_43";"TotaalOverigeUitgaven_44";"KinderopvangtoeslagEducatiefDeel_45";"Studiebeurzen_46";"TotaalOntvangenSubsidies_47";"Leerlingenvervoer_48";"BegeleidingskostenLeerBedrijven_49";"TotaalBuitenland_50";"TotaalAanOnderwijsinstellingen_51";"InternationaleMiddelen_52";"Contractonderzoek_53";"EUSubsidieregelingen_54";"TotaalUitgavenAanOnderwijs_55";"InBbp_56";"PerHoofdVanDeBevolking_57";"TotaalOverheidsuitgavenAanOnderwijs_58";"InBbp_59";"InVanDeTotaleOverheidsuitgaven_60";"TotaalAanOnderwijsinstellingen_61";"TotaalInBbp_62";"Overheid_63";"HuishoudensBedrijvenBuitenland_64";"PerDeelnemerInclusiefRD_65";"PerDeelnemerExclusiefRD_66"
"115";"A048421";"1998JJ00";"8550";"6977";"5943";"    5720";"";"223";"1086";"";"      35";"       .";"193";"189";"670";"34";"52";"52";".";".";".";"863";"708";"271";"188";"249";"618";"";"618";".";".";".";"463";"";"       .";"193";"0";"270";"399";"34";"657";"846";"738";"108";"";"0";"";"0";"189";"35";"189";"52";"0";"0";"";"52";"    8550";"2.2";"546";"7063";"1.8";"4.0";"7498";"     1.9";"1.5";"0.4";"    5372";"    5372"
"116";"A048421";"1999JJ00";"9128";"7410";"6387";"    6137";"";"250";"1076";"";"      37";"       .";"218";"197";"625";"24";"52";"52";".";".";".";"934";"799";"334";"197";"269";"600";"";"600";".";".";".";"465";"";"       .";"218";"0";"247";"378";"24";"731";"927";"814";"113";"";"0";"";"0";"197";"37";"197";"52";"0";"0";"";"52";"    9128";"2.2";"579";"7486";"1.8";"4.1";"8113";"     1.9";"1.5";"0.4";"    5785";"    5785"
"117";"A048421";"2000JJ00";"10043";"8225";"7067";"    6798";"";"268";"1287";"";"      39";"       .";"284";"278";"687";"30";"128";"115";"13";".";".";"937";"838";"346";"204";"288";"686";"";"673";"13";".";".";"587";"";"       .";"284";"0";"304";"383";"30";"766";"1043";"926";"117";"";"0";"";"0";"278";"39";"278";"115";"0";"0";"";"115";"   10043";"2.2";"633";"8383";"1.9";"4.4";"8948";"     2.0";"1.6";"0.4";"    6302";"    6302"
"118";"A048421";"2001JJ00";"10980";"8926";"7834";"    7544";"";"291";"1221";"";"      41";"       .";"326";"291";"564";"91";"130";"115";"14";".";".";"1057";"890";"361";"228";"301";"695";"";"681";"14";".";".";"528";"";"       .";"326";"0";"202";"361";"91";"882";"1173";"1042";"131";"";"0";"";"0";"291";"41";"291";"115";"0";"0";"";"115";"   10980";"2.3";"687";"9147";"1.9";"4.4";"9897";"     2.1";"1.6";"0.4";"    6870";"    6870"
"119";"A048421";"2002JJ00";"11729";"9378";"8295";"    7963";"";"333";"1210";"";"      43";"       .";"340";"378";"449";"97";"128";"115";"12";".";".";"1310";"946";"389";"205";"352";"798";"";"785";"12";".";".";"433";"";"       .";"340";"0";"93";"356";"97";"926";"1304";"1168";"136";"";"0";"";"0";"378";"43";"378";"115";"0";"0";"";"115";"   11729";"2.3";"728";"9603";"1.9";"4.4";"10545";"     2.1";"1.7";"0.4";"    7286";"    7286"
"120";"A048421";"2003JJ00";"12325";"9820";"8657";"    8395";"";"262";"1289";"";"      46";"       .";"347";"322";"574";"123";"125";"115";"10";".";".";"1317";"987";"409";"219";"358";"852";"";"842";"10";".";".";"522";"";"       .";"347";"0";"175";"399";"123";"1073";"1394";"1250";"145";"";"0";"";"0";"322";"46";"322";"115";"0";"0";"";"115";"   12325";"2.4";"761";"10069";"2.0";"4.4";"11038";"     2.2";"1.7";"0.5";"    7508";"    7508"
"121";"A048421";"2004JJ00";"13023";"10458";"9108";"    8879";"";"230";"1478";"";"      51";"       .";"386";"312";"729";"80";"128";"115";"13";".";".";"1327";"1120";"450";"293";"377";"907";"";"895";"13";".";".";"700";"";"       .";"386";"0";"314";"415";"80";"1123";"1434";"1277";"158";"";"0";"";"0";"312";"51";"312";"115";"0";"0";"";"115";"   13023";"2.5";"801";"10666";"2.0";"4.6";"11662";"     2.2";"1.7";"0.5";"    7767";"    7767"
"122";"A048421";"2005JJ00";"13703";"11014";"9792";"    9565";"";"227";"1355";"";"      52";"       .";"268";"296";"738";"108";"133";"115";"18";".";".";"1411";"966";"203";"361";"402";"1016";"";"998";"18";".";".";"571";"";"       .";"268";"0";"303";"435";"108";"1163";"1459";"1279";"180";"";"0";"";"0";"296";"52";"296";"115";"0";"0";"";"115";"   13703";"2.5";"840";"11255";"2.0";"4.8";"12217";"     2.2";"1.8";"0.4";"    8016";"    8016"
"123";"A048421";"2006JJ00";"14384";"11506";"10152";"    9914";"";"239";"1494";"";"      60";"       .";"269";"302";"863";"247";"141";"130";"11";".";".";"1486";"944";"181";"338";"425";"1116";"";"1105";"11";".";".";"574";"";"       .";"269";"0";"305";"558";"247";"1260";"1562";"1393";"169";"";"0";"";"0";"302";"60";"302";"133";"3";"3";"";"130";"   14384";"2.5";"881";"11894";"2.0";"4.7";"12661";"     2.2";"1.7";"0.4";"    8262";"    8262"
"124";"A048421";"2007JJ00";"14965";"11804";"10773";"   10559";"";"214";"1130";"";"      62";"       .";"268";"297";"503";"475";"99";"83";"16";".";".";"1627";"928";"189";"302";"437";"1152";"";"1136";"16";".";".";"453";"";"       .";"268";"0";"185";"318";"475";"1447";"1744";"1554";"190";"";"0";"";"0";"297";"62";"297";"87";"4";"4";"";"83";"   14965";"2.4";"915";"12378";"2.0";"4.7";"13448";"     2.2";"1.7";"0.4";"    8697";"    8697"
"125";"A048421";"2008JJ00";"15652";"12779";"11164";"   10945";"";"220";"1758";"";"      66";"       .";"554";"457";"681";"411";"143";"127";"17";".";".";"1280";"957";"180";"293";"484";"1130";"";"1114";"17";".";".";"808";"";"       .";"554";"0";"254";"427";"411";"1452";"1909";"1726";"183";"";"0";"";"0";"457";"66";"457";"142";"15";"15";"";"127";"   15652";"2.4";"954";"13333";"2.1";"4.8";"14045";"     2.2";"1.7";"0.4";"    9052";"    9052"
"126";"A048421";"2009JJ00";"16477";"13456";"12155";"   11895";"";"260";"1445";"";"      67";"       7";"145";"533";"694";"332";"144";"129";"15";".";".";"1383";"946";"187";"287";"472";"843";"";"829";"15";".";".";"406";"";"       7";"145";"0";"254";"440";"332";"1489";"2022";"1841";"181";"";"0";"";"0";"533";"67";"533";"148";"19";"19";"";"129";"   16477";"2.6";"999";"13932";"2.2";"4.7";"15142";"     2.4";"1.9";"0.5";"    9745";"    9745"
